x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_HE,X_AR,X_N2,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_OH*,X_N,X_NH3,X_NH2,X_NH,X_NNH,X_NO,X_N2O,X_HNO,X_HON,X_H2NO,X_HNOH,X_NH2OH,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2H2,X_H2NN,X_N2H4,X_N2H3
0.0690625,1385.85,1382.59,0.10231,1.14416e+06,2.61109e-20,0.61896,0.0371144,0.00117964,0.0979688,4.02013e-07,1.35757e-07,9.73211e-07,6.59033e-06,0.114843,9.19335e-08,5.35209e-17,4.48193e-10,0.128841,0.000130423,4.12021e-07,9.59836e-11,0.000123642,0.000755881,2.29083e-06,2.52055e-06,9.58122e-06,2.34402e-07,5.55006e-07,1.10596e-05,5.56799e-08,1.5007e-10,8.55047e-12,3.35402e-12,4.48188e-05,1.65882e-07,3.30543e-06,7.51501e-07
0.069875,1380.8,1377.31,0.101983,1.04035e+06,2.61077e-20,0.618728,0.0381233,0.00115016,0.0964226,3.74219e-07,1.25478e-07,9.35892e-07,6.2986e-06,0.11752,8.8035e-08,4.69131e-17,3.95386e-10,0.126987,0.000123142,3.76862e-07,8.61981e-11,0.000117762,0.000747774,2.13841e-06,2.58016e-06,9.15213e-06,2.20186e-07,5.31294e-07,1.06858e-05,5.32856e-08,1.4215e-10,8.1656e-12,3.3217e-12,4.26091e-05,1.54842e-07,3.18235e-06,7.24133e-07
0.0706875,1375.26,1372.03,0.101612,933844,2.61052e-20,0.618532,0.0390024,0.0011175,0.0950781,3.43538e-07,1.14456e-07,8.86909e-07,6.00663e-06,0.119841,8.43127e-08,4.00887e-17,3.3953e-10,0.125388,0.000115325,3.39205e-07,7.62887e-11,0.000111567,0.000737367,1.97365e-06,2.63232e-06,8.71483e-06,2.05809e-07,5.08639e-07,1.02925e-05,5.08687e-08,1.34169e-10,7.76964e-12,3.25372e-12,4.01645e-05,1.42366e-07,3.0372e-06,6.92635e-07
0.0715,1369.22,1366.25,0.101198,829166,2.61033e-20,0.618368,0.039758,0.00108284,0.0939242,3.11614e-07,1.03194e-07,8.29371e-07,5.71702e-06,0.121828,8.0814e-08,3.34822e-17,2.84599e-10,0.124029,0.000107233,3.00906e-07,6.66625e-11,0.00010521,0.000725408,1.80378e-06,2.67739e-06,8.27532e-06,1.9147e-07,4.87015e-07,9.88732e-06,4.84821e-08,1.26286e-10,7.3738e-12,3.15882e-12,3.75839e-05,1.29219e-07,2.87782e-06,6.58671e-07
0.0723125,1362.65,1360.16,0.10074,727493,2.61019e-20,0.618233,0.0403974,0.0010473,0.092949,2.79243e-07,9.19241e-08,7.64934e-07,5.42941e-06,0.123504,7.75136e-08,2.73391e-17,2.32422e-10,0.122891,9.89221e-05,2.62701e-07,5.74529e-11,9.87119e-05,0.000712636,1.6311e-06,2.71579e-06,7.83146e-06,1.77167e-07,4.66177e-07,9.47117e-06,4.61263e-08,1.18514e-10,6.97949e-12,3.03902e-12,3.49059e-05,1.15671e-07,2.70476e-06,6.22604e-07
0.073125,1354.93,1353.25,0.100191,627017,2.61009e-20,0.618124,0.0409287,0.00101188,0.0921396,2.46049e-07,8.04035e-08,6.91318e-07,5.13013e-06,0.124894,7.44484e-08,2.15625e-17,1.82498e-10,0.121957,9.00825e-05,2.23605e-07,4.84656e-11,9.19042e-05,0.000699793,1.45185e-06,2.74791e-06,7.37128e-06,1.62345e-07,4.45591e-07,9.04948e-06,4.38539e-08,1.10855e-10,6.60481e-12,2.90382e-12,3.21134e-05,1.01752e-07,2.51818e-06,5.85212e-07
0.0739375,1344.35,1341.87,0.099427,527237,2.61003e-20,0.618037,0.0413625,0.000977518,0.0914798,2.11508e-07,6.82397e-08,6.04127e-07,4.79071e-06,0.126027,7.19265e-08,1.5941e-17,1.34679e-10,0.121206,8.0286e-05,1.8248e-07,3.95102e-11,8.46005e-05,0.000687575,1.26297e-06,2.77429e-06,6.88404e-06,1.46039e-07,4.24717e-07,8.64512e-06,4.18941e-08,1.03531e-10,6.3111e-12,2.79037e-12,2.92078e-05,8.79548e-08,2.33159e-06,5.50361e-07
0.07475,1332.95,1330.5,0.0985979,435626,2.60999e-20,0.617968,0.0417114,0.000945197,0.0909494,1.79198e-07,5.69779e-08,5.18118e-07,4.45607e-06,0.126938,6.95965e-08,1.14579e-17,9.55789e-11,0.12061,7.06326e-05,1.45133e-07,3.15668e-11,7.7314e-05,0.000676347,1.08232e-06,2.79566e-06,6.39113e-06,1.30127e-07,4.04189e-07,8.23507e-06,3.99843e-08,9.63907e-11,6.02387e-12,2.65964e-12,2.63446e-05,7.46054e-08,2.13172e-06,5.14177e-07
0.0755625,1321.12,1318.84,0.0977338,355897,2.60997e-20,0.617915,0.0419885,0.000915655,0.090528,1.50528e-07,4.70973e-08,4.38656e-07,4.13705e-06,0.127662,6.74788e-08,8.09824e-18,6.60057e-11,0.120143,6.15993e-05,1.13354e-07,2.48928e-11,7.03237e-05,0.000666393,9.18624e-07,2.81275e-06,5.90673e-06,1.15157e-07,3.8427e-07,7.82508e-06,3.81438e-08,8.95757e-11,5.74295e-12,2.51815e-12,2.36322e-05,6.24059e-08,1.92862e-06,4.77961e-07
0.076375,1308.89,1307.06,0.0968374,287720,2.60995e-20,0.617875,0.0422053,0.000889366,0.0901981,1.25515e-07,3.85743e-08,3.66814e-07,3.8345e-06,0.128229,6.55943e-08,5.6376e-18,4.43807e-11,0.119783,5.32584e-05,8.69418e-08,1.93925e-11,6.37066e-05,0.000657924,7.72852e-07,2.82618e-06,5.43506e-06,1.01227e-07,3.65046e-07,7.42338e-06,3.64091e-08,8.31736e-11,5.47613e-12,2.37166e-12,2.11039e-05,5.15176e-08,1.72648e-06,4.42371e-07
