x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_OHV,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_N2H2,X_H2NN,X_N2H3,X_N2H4,X_H2NO,X_HNO2,X_HONO2,X_HNOH,X_HONO,X_HON,X_NO3,X_N2O4,X_N2O3,X_CO,X_CO2,X_CH4,X_C2H6,X_HE,X_AR,X_N2
0.0623438,1446.68,1335.62,0.505115,6.33207e+07,0.0192758,5.99474e-05,1.47849e-05,0.0539101,4.20505e-05,0.214026,2.08172e-05,4.66704e-06,6.18884e-15,9.13495e-07,1.42353e-05,0.000373677,0.0490168,6.30674e-09,0.000700902,5.72097e-06,0.00187669,5.29236e-05,0.000371664,9.03158e-07,5.3163e-07,4.19601e-06,1.03936e-05,1.7425e-09,1.18911e-19,7.74402e-07,3.50105e-08,4.01356e-13,2.69338e-10,6.43849e-18,9.6507e-17,1.25778e-20,0,0,0,1.84783e-20,3.01147e-32,0.660215
0.0624219,1451.38,1337.06,0.5071,6.50098e+07,0.018945,6.50041e-05,1.57766e-05,0.050896,4.65137e-05,0.219499,1.98682e-05,3.9964e-06,7.01781e-15,1.07359e-06,1.51208e-05,0.000372999,0.0452598,6.395e-09,0.00071735,5.14693e-06,0.00188578,5.21084e-05,0.000353466,8.71475e-07,5.13468e-07,3.818e-06,9.27406e-06,1.49719e-09,1.19903e-19,6.98143e-07,3.58192e-08,4.43968e-13,2.32238e-10,5.15289e-18,9.63641e-17,1.25704e-20,0,0,0,1.84742e-20,3.16152e-32,0.661831
0.0625,1456.08,1338.51,0.50908,6.69119e+07,0.018583,7.07853e-05,1.68755e-05,0.0478758,5.1728e-05,0.224952,1.88897e-05,3.3921e-06,7.97053e-15,1.27038e-06,1.60833e-05,0.000371709,0.0415524,6.47497e-09,0.00073461,4.59441e-06,0.00188926,5.10983e-05,0.000334073,8.3605e-07,4.92398e-07,3.45522e-06,8.19918e-06,1.27833e-09,1.20838e-19,6.2346e-07,3.70539e-08,4.9364e-13,1.98378e-10,4.06038e-18,9.60642e-17,1.25633e-20,0,0,0,1.84706e-20,3.29963e-32,0.663459
0.0625781,1460.77,1339.95,0.511051,6.89588e+07,0.0181893,7.74488e-05,1.81009e-05,0.044857,5.78729e-05,0.23037,1.7886e-05,2.85068e-06,9.06884e-15,1.5142e-06,1.71283e-05,0.000369695,0.0379072,6.54422e-09,0.000752792,4.06675e-06,0.0018865,4.98802e-05,0.000313475,7.96661e-07,4.68322e-07,3.10713e-06,7.17514e-06,1.08572e-09,1.21715e-19,5.50942e-07,3.87855e-08,5.52079e-13,1.67777e-10,3.14635e-18,9.56178e-17,1.25565e-20,0,0,0,1.84674e-20,3.4257e-32,0.665095
0.0626562,1465.42,1341.4,0.513004,7.11689e+07,0.0177638,8.51843e-05,1.94751e-05,0.0418482,6.5174e-05,0.235738,1.68618e-05,2.36936e-06,1.03369e-14,1.81828e-06,1.82581e-05,0.000366809,0.0343384,6.59873e-09,0.000772014,3.56734e-06,0.00187685,4.84408e-05,0.00029168,7.53094e-07,4.41183e-07,2.77344e-06,6.20822e-06,9.18985e-10,1.22536e-19,4.81201e-07,4.11058e-08,6.21414e-13,1.40435e-10,2.39486e-18,9.50358e-17,1.25501e-20,0,0,0,1.84646e-20,3.54172e-32,0.666732
0.0627344,1470.01,1342.85,0.514929,7.35514e+07,0.0173062,9.42184e-05,2.10229e-05,0.0388598,7.39133e-05,0.241036,1.58223e-05,1.94551e-06,1.17999e-14,2.19919e-06,1.94692e-05,0.000362848,0.030862,6.63238e-09,0.000792384,3.09959e-06,0.00185958,4.67672e-05,0.000268724,7.05169e-07,4.10997e-07,2.45405e-06,5.30463e-06,7.77558e-10,1.23302e-19,4.14864e-07,4.41332e-08,7.0428e-13,1.16312e-10,1.78889e-18,9.43289e-17,1.25441e-20,0,0,0,1.84623e-20,3.6546e-32,0.668365
0.0628125,1474.49,1344.29,0.516807,7.60989e+07,0.0168166,0.000104817,2.27703e-05,0.035904,8.44403e-05,0.246244,1.47733e-05,1.57646e-06,1.34817e-14,2.67697e-06,2.07478e-05,0.000357545,0.0274954,6.63642e-09,0.000814003,2.6668e-06,0.00183394,4.48483e-05,0.000244691,6.52794e-07,3.77893e-07,2.14906e-06,4.47021e-06,6.60639e-10,1.24016e-19,3.52556e-07,4.80194e-08,8.03877e-13,9.53206e-11,1.31064e-18,9.35079e-17,1.25385e-20,0,0,0,1.84604e-20,3.77375e-32,0.669983
0.0628906,1478.8,1345.74,0.518616,7.87778e+07,0.0162953,0.000117284,2.47439e-05,0.0329946,9.71805e-05,0.251337,1.37211e-05,1.25942e-06,1.53996e-14,3.27452e-06,2.20645e-05,0.000350564,0.0242583,6.59908e-09,0.000836952,2.27192e-06,0.00179916,4.2676e-05,0.000219735,5.96052e-07,3.42163e-07,1.85884e-06,3.71012e-06,5.67156e-10,1.2468e-19,2.9487e-07,5.29586e-08,9.23988e-13,7.73275e-11,9.41929e-19,9.25828e-17,1.25333e-20,0,0,0,1.84589e-20,3.9111e-32,0.671577
0.0629687,1482.86,1347.18,0.520329,8.15159e+07,0.0157431,0.00013195,2.69671e-05,0.0301476,0.00011264,0.256289,1.26726e-05,9.91486e-07,1.75579e-14,4.01544e-06,2.33691e-05,0.000341509,0.0211712,6.50559e-09,0.000861292,1.91728e-06,0.0017545,4.02485e-05,0.0001941,5.35318e-07,3.04308e-07,1.58424e-06,3.02844e-06,4.95746e-10,1.25296e-19,2.42338e-07,5.91981e-08,1.06889e-12,6.21505e-11,6.64675e-19,9.15633e-17,1.25285e-20,0,0,0,1.84579e-20,4.08046e-32,0.673137
0.0630469,1486.57,1348.63,0.521909,8.41903e+07,0.0151611,0.000149153,2.9457e-05,0.0273804,0.000131398,0.261073,1.16354e-05,7.69582e-07,1.99377e-14,4.91941e-06,2.45853e-05,0.00032995,0.018256,6.33911e-09,0.000887062,1.60434e-06,0.00169935,3.75731e-05,0.00016815,4.71376e-07,2.65083e-07,1.32663e-06,2.42778e-06,4.44759e-10,1.25869e-19,1.95389e-07,6.70508e-08,1.24314e-12,4.95648e-11,4.61529e-19,9.04582e-17,1.25242e-20,0,0,0,1.84574e-20,4.28988e-32,0.674649
